"表现组ID"	"轨迹ID"	"特效数组"	"停留时间"	"隐身"	"策划注释"	
"1222"	"-1"	"shicong_liuziye_appeared.act.txt"	"4000"	"0"	"刘子业出场UI界面出场用"	
"1230"	"-1"	"shicong_suxiaoxiao_death.act.txt"	"4000"	"0"	"苏小小死亡"	
"1231"	"-1"	"shicong_suxiaoxiao_show.act.txt"	"4000"	"0"	"苏小小抽卡侍从抽卡展示动作"	
"1232"	"-1"	"shicong_suxiaoxiao_appeared.act.txt"	"4000"	"0"	"苏小小出场UI界面出场用"	
"1240"	"-1"	"shicong_wangdaolian_death.act.txt"	"4000"	"0"	"王道怜死亡"	
"1241"	"-1"	"shicong_wangdaolian_show.act.txt"	"4000"	"0"	"王道怜抽卡侍从抽卡展示动作"	
"1242"	"-1"	"shicong_wangdaolian_appeared.act.txt"	"4000"	"0"	"王道怜出场UI界面出场用"	
"1250"	"-1"	"shicong_jiran_death.act.txt"	"4000"	"0"	"寂然死亡"	
"1251"	"-1"	"shicong_jiran_show.act.txt"	"4000"	"0"	"寂然抽卡侍从抽卡展示动作"	
"1252"	"-1"	"shicong_jiran_appeared.act.txt"	"4000"	"0"	"寂然出场UI界面出场用"	
"1260"	"-1"	"shicong_wangyizhi_death.act.txt"	"4000"	"0"	"王意之死亡"	
"1261"	"-1"	"shicong_wangyizhi_show.act.txt"	"4000"	"0"	"王意之抽卡侍从抽卡展示动作"	
"1262"	"-1"	"shicong_wangyizhi_appeared.act.txt"	"4000"	"0"	"王意之出场UI界面出场用"	
"1270"	"-1"	"shicong_xiaobie_death.act.txt"	"4000"	"0"	"萧别死亡"	
"1271"	"-1"	"shicong_xiaobie_show.act.txt"	"4000"	"0"	"萧别抽卡侍从抽卡展示动作"	
"1272"	"-1"	"shicong_xiaobie_appeared.act.txt"	"4000"	"0"	"萧别出场UI界面出场用"	
"1280"	"-1"	"shicong_tianruyue_death.act.txt"	"4000"	"0"	"天如月死亡"	
"1281"	"-1"	"shicong_tianruyue_show.act.txt"	"4000"	"0"	"天如月抽卡侍从抽卡展示动作"	
"1282"	"-1"	"shicong_tianruyue_appeared.act.txt"	"4000"	"0"	"天如月出场UI界面出场用"	
"10000"	"-1"	"mon_yezhu_death.act.txt"	"4000"	"0"	"野猪死亡"	
"10010"	"-1"	"mon_wumeinvzi_death.act.txt"	"4000"	"0"	"妩媚女子死亡"	
"10020"	"-1"	"mon_shanzeitouling_death.act.txt"	"4000"	"0"	"山贼头领死亡"	
"10030"	"-1"	"mon_jiefeishouling_death.act.txt"	"4000"	"0"	"山贼首领死亡"	
"10040"	"-1"	"mon_yelang_death.act.txt"	"4000"	"0"	"野狼死亡"	
"10050"	"-1"	"mon_feizei_death.act.txt"	"4000"	"0"	"飞贼死亡"	
"10060"	"-1"	"mon_yunjindizi_death.act.txt"	"4000"	"0"	"云锦弟子死亡"	
"10070"	"-1"	"mon_jiubushibing_death.act.txt"	"4000"	"0"	"恒远旧部死亡"	
"10080"	"-1"	"mon_huwang_death.act.txt"	"4000"	"0"	"虎王死亡"	
"10090"	"-1"	"mon_xiedaoshi_death.act.txt"	"4000"	"0"	"邪道士死亡"	
"10100"	"-1"	"mon_taotie_death.act.txt"	"4000"	"0"	"饕餮死亡"	
"10110"	"-1"	"mon_sengren_death.act.txt"	"4000"	"0"	"僧人死亡"	
"10120"	"-1"	"mon_beiweishibing_death.act.txt"	"4000"	"0"	"北魏士兵死亡"	
"10130"	"-1"	"mon_yemanlingzhu_death.act.txt"	"4000"	"0"	"野蛮领主死亡"	
"10140"	"-1"	"mon_modaoshi_death.act.txt"	"4000"	"0"	"魔道士死亡"	
"10150"	"-1"	"mon_beiweidaojianbing_death.act.txt"	"4000"	"0"	"北魏刀剑兵死亡"	
"10160"	"-1"	"mon_laohu_death.act.txt"	"4000"	"0"	"老虎死亡"	
"10170"	"-1"	"mon_shennv_death.act.txt"	"4000"	"0"	"蛇女死亡"	
"10180"	"-1"	"mon_shanzei_death.act.txt"	"4000"	"0"	"山贼死亡"	
"10190"	"-1"	"mon_liuchenyun_death.act.txt"	"4000"	"0"	"柳沉云死亡"	
"10200"	"-1"	"mon_yulinwei_death.act.txt"	"4000"	"0"	"羽林卫死亡"	
"10210"	"-1"	"mon_yinjiashouwei_death.act.txt"	"4000"	"0"	"银甲守卫死亡"	
"10220"	"-1"	"mon_jinjiashouwei_death.act.txt"	"4000"	"0"	"金甲守卫死亡"	
"10230"	"-1"	"mon_binghuomo_death.act.txt"	"4000"	"0"	"冰火魔死亡"	
"10240"	"-1"	"mon_xingxingguan_death.act.txt"	"4000"	"0"	"行刑官死亡"	
"10250"	"-1"	"mon_santouquan_death.act.txt"	"4000"	"0"	"三头犬死亡"	
"10260"	"-1"	"mon_shibing_death.act.txt"	"4000"	"0"	"士兵死亡"	
"10270"	"-1"	"mon_huanguan_death.act.txt"	"4000"	"0"	"宦官死亡"	
"10280"	"-1"	"mon_jingyingtouling_death.act.txt"	"4000"	"0"	"精英头领死亡"	
"10290"	"-1"	"mon_tianjigebangzhong_death.act.txt"	"4000"	"0"	"天机阁帮众死亡"	
"10300"	"-1"	"mon_daobaoxiaoyao_death.act.txt"	"4000"	"0"	"盗宝小妖死亡"	
"10310"	"-1"	"mon_junshi_death.act.txt"	"4000"	"0"	"军师死亡"	
"10320"	"-1"	"mon_xuehu_death.act.txt"	"4000"	"0"	"雪狐死亡"	
"10330"	"-1"	"mon_taijian_death.act.txt"	"4000"	"0"	"太监死亡"	
"10340"	"-1"	"mon_beiweiqibing_death.act.txt"	"4000"	"0"	"北魏骑兵死亡"	
"10350"	"-1"	"mon_qimatouling_death.act.txt"	"4000"	"0"	"骑马头领死亡"	
"10360"	"-1"	"mon_bingxuenvwang_death.act.txt"	"4000"	"0"	"冰雪女王死亡"	
"10370"	"-1"	"mon_jiangjun_death.act.txt"	"4000"	"0"	"将军死亡"	
"10380"	"-1"	"mon_huopaomowang_death.act.txt"	"4000"	"0"	"火炮魔王死亡"	
"10390"	"-1"	"mon_niaoren_death.act.txt"	"4000"	"0"	"鸟人死亡"	
"10400"	"-1"	"mon_nvcike_death.act.txt"	"4000"	"0"	"女刺客死亡"	
"10410"	"-1"	"mon_heilongbaozhu_death.act.txt"	"4000"	"0"	"黑龙堡主死亡"	
"10420"	"-1"	"mon_guqinnv_death.act.txt"	"4000"	"0"	"古琴女死亡"	
"10430"	"-1"	"mon_tianjiwei_death.act.txt"	"4000"	"0"	"天机卫死亡"	
"10440"	"-1"	"mon_shenguannv_death.act.txt"	"4000"	"0"	"神官女死亡"	
"20000"	"-1"	"birth_xiongmao.act.txt"	"3000"	"1"	"熊猫出生"	
"20001"	"-1"	"birth_xiaohuanxiong.act.txt"	"3000"	"1"	"小灰熊出生"	
