"宠物类别（首位，1为普通宠物，2为幻形宠物）"	"起始星ID（不需要读填-1）"	"宠物名字"	"宠物级别1=初级宠物；2=中级宠物；3=高级宠物；4=龙宠物；5=限时宠物"	"宠物类别（首位，1为普通宠物，2为幻形宠物，3为多人宠物）"	"有效期（天数永久填-1）"	"每个宠物装备槽最大等级（不判断填-1）"	"宠物最大阶（不判断填-1）"	"宠物最大级（不判断填-1）"	"等阶"	"宠物属性（针对幻形，其他宠物不读取填-1）（属性ID，属性值）"	"宠物初始星级(需特别注意，幻形没有填-1)"	"宠物最大星级(需特别注意，幻形没有填-1)"	"宠物头像图标"	"模型ID"	"宠物界面坐标"	"宠物界面角度"	"宠物模型缩放"	"宠物展示动作id(ActionGroupConfig表)"	"宠物展示动作(ActionGroupConfig表)"	"宠物获得途径"	"宠物头像（未使用）"	"新获取界面美术字"	"商城中尺寸"	"商城中位置"	"商城中角度"	"列表名称美术字"	"获取途径美术字"	"是否商城购买"	"跳转界面-1:不跳转数字：Gui表中的ID"	"标签页id-1:无数字：Gui表中的ID"	"新获得时位置"	"新获得时角度"	"新获得时尺寸"	"宠物休闲动作1standby1"	"宠物休闲动作2standby2"	"排行榜中尺寸"	"排行榜中位置"	"排行榜中角度"	"宠物升级类型（对应PetLevelupConfig表中的类型，同类型可进行升级，0=未不可升级）"	"宠物突破类型（对应PetBreakupConfig表中的类型，同类型可进行升级，0=未不可升级）"	
"1008"	"80000"	"灵武"	"3"	"1008"	"-1"	"50"	"10"	"100"	"8"	"-1"	"1"	"5"	"icon_pet_png,pet_xianhe"	"30021"	"0,-0.8"	"0,-146.62,0"	"0.900000"	"20000"	"pet_xianhe_standby1.act.txt"	"获得途径:挑战副本"	"icon_pet_png,icon_pet_xianhe"	"shenqiname1,petname08"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname08"	""	""	""	""	"0,-0.9"	"0,-146.62,0"	"0.900000"	"pet_xianhe_standby1.act.txt"	"pet_xianhe_standby2.act.txt"	"0.800000"	"0,-0.55"	"0,-130,0"	"0"	"0"	
"1009"	"90000"	"金刚"	"3"	"1009"	"-1"	"50"	"10"	"100"	"9"	"-1"	"1"	"5"	"icon_pet_png,pet_brid"	"30026"	"0,-1.3"	""	"0.800000"	"20001"	"pet_yingwu_standby1.act.txt"	"获得途径:商城"	"icon_pet_png,icon_pet_diao"	"shenqiname1,petname09"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname09"	""	""	""	""	"0,-1.5"	""	"0.800000"	"pet_yingwu_standby1.act.txt"	"pet_yingwu_standby2.act.txt"	"0.600000"	"0,-1.2"	""	"0"	"0"	
"1010"	"100000"	"悟空"	"3"	"1010"	"-1"	"50"	"10"	"100"	"10"	"-1"	"1"	"5"	"icon_pet_png,icon_pet_wukong"	"30023"	"0,-1"	""	"1.000000"	"20000"	"pet_wukong_standby1.act.txt"	"获得途径:商城&豪侠"	"icon_pet_png,icon_pet_wukong"	"shenqiname1,petname10"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname10"	""	""	""	""	"0,-1.1"	""	"1.000000"	"pet_wukong_standby1.act.txt"	"pet_wukong_standby2.act.txt"	"0.900000"	""	""	"0"	"0"	
"2001"	"-1"	"侠客鼠"	"3"	"2001"	"-1"	"-1"	"-1"	"-1"	"-1"	"0,20000,1,1000,2,500,10,500,12,500"	"-1"	"-1"	"icon_pet_png,pet_xiake"	"30032"	"0,-0.8"	""	"0.900000"	"20000"	"pet_yingwu_standby1.act.txt"	"获得途径:首充奖励"	"icon_pet_png,icon_pet_linghu"	"shenqiname1,petname11"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname11"	"Pic_sc,light_shouchong"	"0"	"200212"	"-1"	"0,-0.8"	""	"0.800000"	"pet_xiakexing_standby1.act.txt"	"pet_xiakexing_standby2.act.txt"	""	""	""	"0"	"0"	
"2002"	"-1"	"招财猫"	"3"	"2002"	"-1"	"-1"	"-1"	"-1"	"-1"	"1,1500,2,1500"	"-1"	"-1"	"icon_pet_png,pet_zhaocaimao"	"30033"	"0,-0.7"	""	"0.800000"	"20000"	"pet_wukong_standby1.act.txt"	"获得途径:活动"	"icon_pet_png,icon_pet_linghu"	"shenqiname1,petname12"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname12"	"Pic_sc,light_huodong"	"0"	""	""	"0,-0.8"	""	"0.800000"	"pet_zhaocaimao_standby1.act.txt"	"pet_zhaocaimao_standby2.act.txt"	""	""	""	"0"	"0"	
"2003"	"-1"	"羊驼"	"3"	"2003"	"-1"	"-1"	"-1"	"-1"	"-1"	"0,10000,1,2000,2,1000,14,1000"	"-1"	"-1"	"icon_pet_png,pet_yangtuo"	"30029"	"0,-0.7"	""	"0.800000"	"20000"	"pet_yingwu_standby1.act.txt"	"获得途径:逐鹿苍原"	"icon_pet_png,icon_pet_linghu"	"shenqiname1,petname13"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname13"	"Pic_sc,light_zhulu"	"0"	""	""	"0,-1"	""	"1.000000"	"pet_yangtuo_standby1.act.txt"	"pet_yangtuo_standby2.act.txt"	""	""	""	"0"	"0"	
"2004"	"-1"	"战狼"	"3"	"2004"	"-1"	"-1"	"-1"	"-1"	"-1"	"0,10000,1,2000,2,1000,8,1000"	"-1"	"-1"	"icon_pet_png,pet_lang"	"30030"	"0,-0.7"	""	"0.800000"	"20000"	"pet_wukong_standby1.act.txt"	"获得途径:雪崖剑圣"	"icon_pet_png,icon_pet_linghu"	"shenqiname1,petname14"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname14"	"Pic_sc,light_xueya"	"0"	""	""	"0,-0.8"	""	"0.800000"	"pet_zhanlang_standby1.act.txt"	"pet_zhanlang_standby2.act.txt"	""	""	""	"0"	"0"	
"2005"	"-1"	"孔雀"	"3"	"2005"	"-1"	"-1"	"-1"	"-1"	"-1"	"0,10000,1,1000,2,1000,8,500,10,500,16,500,18,500"	"-1"	"-1"	"icon_pet_png,pet_kongque"	"30031"	"0,-1.3"	""	"1.500000"	"20000"	"pet_wukong_standby1.act.txt"	"获得途径:商城"	"icon_pet_png,icon_pet_linghu"	"shenqiname1,petname15"	"1.5"	"0.1,-0.3"	""	"shenqiname1,s_petname15"	"Pic_sc,light_shop"	"1"	""	""	"0,-0.8"	""	"0.800000"	"pet_kongque_standby1.act.txt"	"pet_kongque_standby2.act.txt"	""	""	""	"0"	"0"	
"2006"	"-1"	"金刚"	"3"	"2006"	"-1"	"-1"	"-1"	"-1"	"-1"	"0,20000,1,1000,2,500"	"-1"	"-1"	"icon_pet_png,pet_brid"	"30026"	"0,-1.3"	""	"0.800000"	"20001"	"pet_yingwu_standby1.act.txt"	"获得途径:七日登陆"	"icon_pet_png,icon_pet_diao"	"shenqiname1,petname33"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname33"	"Pic_sc,light_huodong"	"0"	""	""	"0,-1.5"	""	"0.800000"	"pet_yingwu_standby1.act.txt"	"pet_yingwu_standby2.act.txt"	""	""	""	"0"	"0"	
"2007"	"-1"	"悟空"	"3"	"2007"	"-1"	"-1"	"-1"	"-1"	"-1"	"0,20000,1,1000,2,500"	"-1"	"-1"	"icon_pet_png,icon_pet_wukong"	"30023"	"0,-1"	""	"1.000000"	"20000"	"pet_wukong_standby1.act.txt"	"获得途径:七日登陆"	"icon_pet_png,icon_pet_wukong"	"shenqiname1,petname29"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname29"	"Pic_sc,light_huodong"	"0"	""	""	"0,-1.1"	""	"1.000000"	"pet_wukong_standby1.act.txt"	"pet_wukong_standby2.act.txt"	""	""	""	"0"	"0"	
"2008"	"-1"	"灵武"	"3"	"2008"	"-1"	"-1"	"-1"	"-1"	"-1"	"0,20000,1,1000,2,500"	"-1"	"-1"	"icon_pet_png,pet_xianhe"	"30021"	"0,-0.8"	"0,-146.62,0"	"0.900000"	"20000"	"pet_xianhe_standby1.act.txt"	"获得途径:七日登陆"	"icon_pet_png,icon_pet_xianhe"	"shenqiname1,petname31"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname31"	"Pic_sc,light_huodong"	""	""	""	"0,-0.9"	"0,-146.62,0"	"0.900000"	"pet_xianhe_standby1.act.txt"	"pet_xianhe_standby2.act.txt"	""	""	""	"0"	"0"	
"2009"	"-1"	"铁甲猿"	"3"	"2009"	"-1"	"-1"	"-1"	"-1"	"-1"	"0,20000,1,1500,2,750,16,1000"	"-1"	"-1"	"icon_pet_png,pet_tiejiayuan"	"30036"	"0,-0.8"	""	"0.900000"	"20000"	"pet_xingxing_standby1.act.txt"	"获得途径:商城"	"icon_pet_png,icon_pet_xianhe"	"shenqiname1,petname25"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname25"	"Pic_sc,light_shop"	"1"	""	""	"0,-0.9"	""	"0.900000"	"pet_xingxing_standby1.act.txt"	"pet_xingxing_standby2.act.txt"	""	""	""	"0"	"0"	
"2010"	"-1"	"唐小僧"	"3"	"2010"	"-1"	"-1"	"-1"	"-1"	"-1"	"0,20000,1,1500,2,750,18,1000"	"-1"	"-1"	"icon_pet_png,pet_tangxiaoseng"	"30034"	"0,-0.8"	""	"0.900000"	"20000"	"pet_xiaoheshang_standby1.act.txt"	"获得途径:商城"	"icon_pet_png,icon_pet_xianhe"	"shenqiname1,petname27"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname27"	"Pic_sc,light_shop"	"1"	""	""	"0,-0.9"	""	"0.900000"	"pet_xiaoheshang_standby1.act.txt"	"pet_xiaoheshang_standby2.act.txt"	""	""	""	"0"	"0"	
"2011"	"-1"	"鬼布偶"	"3"	"2011"	"-1"	"-1"	"-1"	"-1"	"-1"	"0,20000,1,1500,2,750,12,1000"	"-1"	"-1"	"icon_pet_png,pet_guibuou"	"30035"	"0,-0.8"	""	"0.900000"	"20000"	"pet_jiangshixiong_standby1.act.txt"	"获得途径:商城"	"icon_pet_png,icon_pet_xianhe"	"shenqiname1,petname23"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname23"	"Pic_sc,light_shop"	"1"	""	""	"0,-0.9"	""	"0.900000"	"pet_jiangshixiong_standby1.act.txt"	"pet_jiangshixiong_standby2.act.txt"	""	""	""	"0"	"0"	
"2101"	"-1"	"侠客鼠（限时）"	"5"	"2001"	"3"	"-1"	"-1"	"-1"	"-1"	"0,20000,1,1000,2,500,10,500,12,500"	"-1"	"-1"	"icon_pet_png,pet_xiake"	"30032"	"0,-0.8"	""	"0.900000"	"20000"	"pet_yingwu_standby1.act.txt"	"获得途径:首充奖励"	"icon_pet_png,icon_pet_linghu"	"shenqiname1,petname16"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname16"	"Pic_sc,light_shouchong"	"0"	"200212"	"-1"	"0,-0.8"	""	"0.800000"	"pet_xiakexing_standby1.act.txt"	"pet_xiakexing_standby2.act.txt"	""	""	""	"0"	"0"	
"2102"	"-1"	"招财猫（限时）"	"5"	"2002"	"3"	"-1"	"-1"	"-1"	"-1"	"1,1500,2,1500"	"-1"	"-1"	"icon_pet_png,pet_zhaocaimao"	"30033"	"0,-0.7"	""	"0.800000"	"20000"	"pet_wukong_standby1.act.txt"	"获得途径:4日登陆"	"icon_pet_png,icon_pet_linghu"	"shenqiname1,petname17"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname17"	"Pic_sc,light_huodong"	"0"	""	""	"0,-0.8"	""	"0.800000"	"pet_zhaocaimao_standby1.act.txt"	"pet_zhaocaimao_standby2.act.txt"	""	""	""	"0"	"0"	
"2103"	"-1"	"羊驼（限时）"	"5"	"2003"	"3"	"-1"	"-1"	"-1"	"-1"	"0,10000,1,2000,2,1000,14,1000"	"-1"	"-1"	"icon_pet_png,pet_yangtuo"	"30029"	"0,-0.7"	""	"0.800000"	"20000"	"pet_yingwu_standby1.act.txt"	"获得途径:逐鹿苍原"	"icon_pet_png,icon_pet_linghu"	"shenqiname1,petname18"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname18"	"Pic_sc,light_zhulu"	"0"	""	""	"0,-1"	""	"1.000000"	"pet_yangtuo_standby1.act.txt"	"pet_yangtuo_standby2.act.txt"	""	""	""	"0"	"0"	
"2104"	"-1"	"战狼（限时）"	"5"	"2004"	"3"	"-1"	"-1"	"-1"	"-1"	"0,10000,1,2000,2,1000,8,1000"	"-1"	"-1"	"icon_pet_png,pet_lang"	"30030"	"0,-0.7"	""	"0.800000"	"20000"	"pet_wukong_standby1.act.txt"	"获得途径:雪崖剑圣"	"icon_pet_png,icon_pet_linghu"	"shenqiname1,petname19"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname19"	"Pic_sc,light_xueya"	"0"	""	""	"0,-0.8"	""	"0.800000"	"pet_zhanlang_standby1.act.txt"	"pet_zhanlang_standby2.act.txt"	""	""	""	"0"	"0"	
"2105"	"-1"	"孔雀（限时）"	"5"	"2005"	"3"	"-1"	"-1"	"-1"	"-1"	"0,10000,1,1000,2,1000,8,500,10,500,16,500,18,500"	"-1"	"-1"	"icon_pet_png,pet_kongque"	"30031"	"0,-1.3"	""	"1.500000"	"20000"	"pet_wukong_standby1.act.txt"	"获得途径:商城"	"icon_pet_png,icon_pet_linghu"	"shenqiname1,petname20"	"1.5"	"0.1,-0.3"	""	"shenqiname1,s_petname20"	"Pic_sc,light_shop"	"0"	""	""	"0,-0.8"	""	"0.800000"	"pet_kongque_standby1.act.txt"	"pet_kongque_standby2.act.txt"	""	""	""	"0"	"0"	
"2106"	"-1"	"金刚（限时）"	"5"	"2006"	"3"	"-1"	"-1"	"-1"	"-1"	"0,20000,1,1000,2,500"	"-1"	"-1"	"icon_pet_png,pet_brid"	"30026"	"0,-1.3"	""	"0.800000"	"20001"	"pet_yingwu_standby1.act.txt"	"获得途径:七日登陆"	"icon_pet_png,icon_pet_diao"	"shenqiname1,petname34"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname34"	"Pic_sc,light_huodong"	"0"	""	""	"0,-1.5"	""	"0.800000"	"pet_yingwu_standby1.act.txt"	"pet_yingwu_standby2.act.txt"	""	""	""	"0"	"0"	
"2107"	"-1"	"悟空（限时）"	"5"	"2007"	"3"	"-1"	"-1"	"-1"	"-1"	"0,20000,1,1000,2,500"	"-1"	"-1"	"icon_pet_png,icon_pet_wukong"	"30023"	"0,-1"	""	"1.000000"	"20000"	"pet_wukong_standby1.act.txt"	"获得途径:七日登陆"	"icon_pet_png,icon_pet_wukong"	"shenqiname1,petname30"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname30"	"Pic_sc,light_huodong"	"0"	""	""	"0,-1.1"	""	"1.000000"	"pet_wukong_standby1.act.txt"	"pet_wukong_standby2.act.txt"	""	""	""	"0"	"0"	
"2108"	"-1"	"灵武（限时）"	"5"	"2008"	"3"	"-1"	"-1"	"-1"	"-1"	"0,20000,1,1000,2,500"	"-1"	"-1"	"icon_pet_png,pet_xianhe"	"30021"	"0,-0.8"	"0,-146.62,0"	"0.900000"	"20000"	"pet_xianhe_standby1.act.txt"	"获得途径:七日登陆"	"icon_pet_png,icon_pet_xianhe"	"shenqiname1,petname32"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname32"	"Pic_sc,light_huodong"	""	""	""	"0,-0.9"	"0,-146.62,0"	"0.900000"	"pet_xianhe_standby1.act.txt"	"pet_xianhe_standby2.act.txt"	""	""	""	"0"	"0"	
"2109"	"-1"	"铁甲猿（限时）"	"5"	"2009"	"3"	"-1"	"-1"	"-1"	"-1"	"0,20000,1,1500,2,750,16,1000"	"-1"	"-1"	"icon_pet_png,pet_tiejiayuan"	"30036"	"0,-0.8"	""	"0.900000"	"20000"	"pet_xingxing_standby1.act.txt"	"获得途径:七日登陆"	"icon_pet_png,icon_pet_xianhe"	"shenqiname1,petname26"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname26"	"Pic_sc,light_huodong"	""	""	""	"0,-0.9"	""	"0.900000"	"pet_xingxing_standby1.act.txt"	"pet_xingxing_standby2.act.txt"	""	""	""	"0"	"0"	
"2110"	"-1"	"唐小僧（限时）"	"5"	"2010"	"3"	"-1"	"-1"	"-1"	"-1"	"0,20000,1,1500,2,750,18,1000"	"-1"	"-1"	"icon_pet_png,pet_tangxiaoseng"	"30034"	"0,-0.8"	""	"0.900000"	"20000"	"pet_xiaoheshang_standby1.act.txt"	"获得途径:七日登陆"	"icon_pet_png,icon_pet_xianhe"	"shenqiname1,petname28"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname28"	"Pic_sc,light_huodong"	""	""	""	"0,-0.9"	""	"0.900000"	"pet_xiaoheshang_standby1.act.txt"	"pet_xiaoheshang_standby2.act.txt"	""	""	""	"0"	"0"	
"2111"	"-1"	"鬼布偶（限时）"	"5"	"2011"	"3"	"-1"	"-1"	"-1"	"-1"	"0,20000,1,1500,2,750,12,1000"	"-1"	"-1"	"icon_pet_png,pet_guibuou"	"30035"	"0,-0.8"	""	"0.900000"	"20000"	"pet_jiangshixiong_standby1.act.txt"	"获得途径:七日登陆"	"icon_pet_png,icon_pet_xianhe"	"shenqiname1,petname24"	"0.8"	"0.1,-0.7"	""	"shenqiname1,s_petname24"	"Pic_sc,light_huodong"	""	""	""	"0,-0.9"	""	"0.900000"	"pet_jiangshixiong_standby1.act.txt"	"pet_jiangshixiong_standby2.act.txt"	""	""	""	"0"	"0"	
