"id"	"描述"	"效果类型"	"效果索引(程序用,不填)"	"延时"	"目标类型1.选中目标点（选点技能）2.选中目标方向固定距离的点（选点技能）距离3.选中原点处圆形范围内随机一个点（选点技能）范围半径4.选中目标点处圆形范围内随机一个点（选点技能）范围半径5.选择目标方向带方向偏移（子弹类技能）偏移角度6.选择目标方向随机方向偏移（子弹类技能）范围参数1（向左偏移角度一般为正数）范围参数2（向右偏移角度一般为负数）7.选中目标方向固定距离点带方向偏移（选点技能）距离偏移角度8.选中目标方向固定距离点随机方向偏移（选点技能）距离范围参数1范围参数2"	"目标参数1"	"目标参数2"	"目标参数3"	"效果参数1"	"效果参数2"	"效果参数3"	"效果参数1"	"效果参数2"	"效果参数3"	"nn效果参数1"	"nn效果参数2"	"nn效果参数3"	"ff效果参数1"	"ff效果参数2"	"ff效果参数3"	"符咒类型id对应creatureType表格"	"表现"	""	""	
"1141"	""	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1141"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"1150"	"战士抓龙"	"TameDragon"	"0"	"0"	"1"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"2010"	""	"CreateCharmCastMagic"	"0"	"0"	"1"	"0.000000"	"0.000000"	"0.000000"	"2011"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"2020"	""	"CreateCharmCastMagic"	"0"	"0"	"1"	"0.000000"	"0.000000"	"0.000000"	"2021"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"2050"	""	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"2050"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"2060"	"游侠跳跃无敌"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"2060"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"2061"	"游侠跳跃结束加防御"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"2061"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"2080"	""	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"2080"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"2090"	""	"CreateCharmOwnedAura"	"0"	"0"	"1"	"0.000000"	"0.000000"	"0.000000"	"2090"	"2091"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"2120"	"元素陷阱"	"MagicTrap"	"0"	"0"	"2"	"0.500000"	"0.000000"	"0.000000"	"2121"	"25000"	"0"	"1.000000"	"0.000000"	"0.000000"	"1"	"2120"	"1"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"2130"	"守卫"	"ViperGuard"	"0"	"0"	"1"	"0.000000"	"0.000000"	"0.000000"	"16"	"2131"	"1"	"500.000000"	"10.000000"	"20000.000000"	"1"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"3000"	""	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"3000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"3010"	"等离子场"	"PlasmaField"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"3011"	"0"	"0"	"8.000000"	"1.000000"	"0.000000"	"0"	"0"	"0"	"0.200000"	"1.000000"	"0.000000"	"0"	""	""	""	
"3011"	"等离子场加表现用光环"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"3010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"3020"	""	"CreateCharmOwnedAura"	"0"	"0"	"1"	"0.000000"	"0.000000"	"0.000000"	"3020"	"3021"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3030"	""	"CreateCharmCastMagic"	"0"	"0"	"1"	"0.000000"	"0.000000"	"0.000000"	"3031"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3040"	"闪电链"	"CreateJumpableMagic"	"0"	"0"	"1"	"0.000000"	"0.000000"	"0.000000"	"3041"	"0"	"5"	"6.000000"	"0.050000"	"4.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"magicianmale_staff_shandianlian1.act.txt,magicianmale_staff_shandianlian2.act.txt"	""	""	
"3050"	"闪电风暴"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"3050"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"3060"	"火焰波"	"CreateCharmOwnedAura"	"0"	"0"	"2"	"3.000000"	"0.000000"	"0.000000"	"3060"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3061"	"火焰波"	"CreateCharmOwnedAura"	"0"	"150"	"2"	"6.000000"	"0.000000"	"0.000000"	"3060"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3062"	"火焰波"	"CreateCharmOwnedAura"	"0"	"300"	"2"	"9.000000"	"0.000000"	"0.000000"	"3060"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3063"	"火焰波"	"CreateCharmOwnedAura"	"0"	"450"	"2"	"12.000000"	"0.000000"	"0.000000"	"3060"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3090"	""	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"3090"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"3100"	""	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"3100"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"3101"	"闪现加防御"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"3101"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"3120"	"冰河世纪"	"CreateCharmCastMagic"	"0"	"0"	"3"	"0.000000"	"0.000000"	"0.000000"	"3121"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3121"	"冰河世纪爆破"	"CastMagicWhenKillThisMagic"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"3122"	"3"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"3130"	""	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"3130"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"3140"	""	"CreateCharmCastMagic"	"0"	"0"	"1"	"0.000000"	"0.000000"	"0.000000"	"3141"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3150"	"随机在5米内掉流星"	"CreateCharmCastMagic"	"0"	"0"	"1"	"0.000000"	"0.000000"	"0.000000"	"3152"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3151"	"流星1"	"CreateCharmCastMagic"	"0"	"0"	"7"	"2.000000"	"0.000000"	"0.000000"	"3151"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3152"	"流星2"	"CreateCharmCastMagic"	"0"	"100"	"7"	"2.000000"	"90.000000"	"0.000000"	"3151"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3153"	"流星3"	"CreateCharmCastMagic"	"0"	"200"	"7"	"2.000000"	"180.000000"	"0.000000"	"3151"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3154"	"流星4"	"CreateCharmCastMagic"	"0"	"300"	"7"	"2.000000"	"-90.000000"	"0.000000"	"3151"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3155"	"流星5"	"CreateCharmCastMagic"	"0"	"400"	"7"	"4.000000"	"0.000000"	"0.000000"	"3151"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3156"	"流星6"	"CreateCharmCastMagic"	"0"	"600"	"7"	"4.000000"	"45.000000"	"0.000000"	"3151"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3157"	"流星7"	"CreateCharmCastMagic"	"0"	"450"	"7"	"4.000000"	"90.000000"	"0.000000"	"3151"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3158"	"流星8"	"CreateCharmCastMagic"	"0"	"625"	"7"	"4.000000"	"135.000000"	"0.000000"	"3151"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3159"	"流星9"	"CreateCharmCastMagic"	"0"	"500"	"7"	"4.000000"	"180.000000"	"0.000000"	"3151"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3160"	""	"CreateCharmCastMagic"	"0"	"0"	"1"	"0.000000"	"0.000000"	"0.000000"	"3161"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3161"	"流星10"	"CreateCharmCastMagic"	"0"	"650"	"7"	"4.000000"	"-135.000000"	"0.000000"	"3151"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3162"	"流星11"	"CreateCharmCastMagic"	"0"	"550"	"7"	"4.000000"	"-90.000000"	"0.000000"	"3151"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3163"	"流星12"	"CreateCharmCastMagic"	"0"	"675"	"7"	"4.000000"	"-45.000000"	"0.000000"	"3151"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"3170"	"火buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"3170"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"5000"	""	"WarthOfBlackDragon"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"5001"	"45"	"2000"	"40.000000"	"10.000000"	"20.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"magicianmale_staff_shandianfengbao_hit.act.txt,dragon_black_wrath1.act.txt,dragon_black_wrath2.act.txt,dragon_black_wrath3.act.txt,dragon_black_wrath4.act.txt,dragon_black_wrath5.act.txt,"	""	""	
"5010"	"熔岩效果"	"CreateCharmOwnedAura"	"0"	"0"	"3"	"0.000000"	"0.000000"	"0.000000"	"5011"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"6000"	"魔王本脚本用buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"6000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"9999"	""	"MagicTrap"	"0"	"0"	"1"	"0.000000"	"0.000000"	""	"1050"	"15000"	"100"	"5.000000"	""	""	"2"	"0"	"1"	""	""	""	""	""	""	""	
"100000"	""	"TriggerStaticObject"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"100001"	""	"UnlockStuck"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10100020"	"剑啸风花"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10100020"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10101020"	"剑啸风花"	"CreateAura"	"0"	"500"	"0"	"0.000000"	"0.000000"	"0.000000"	"10101020"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10102020"	"剑啸风花"	"CreateAura"	"0"	"500"	"0"	"0.000000"	"0.000000"	"0.000000"	"10102020"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10103020"	"剑啸风花"	"CreateAura"	"0"	"500"	"0"	"0.000000"	"0.000000"	"0.000000"	"10103020"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10100041"	"妙转乾坤后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10100041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10101041"	"妙转乾坤后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10101041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10102041"	"妙转乾坤后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10102041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10103041"	"妙转乾坤后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10103041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10200020"	"剑啸风花"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10200020"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10201020"	"剑啸风花"	"CreateAura"	"0"	"500"	"0"	"0.000000"	"0.000000"	"0.000000"	"10201020"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10202020"	"剑啸风花"	"CreateAura"	"0"	"500"	"0"	"0.000000"	"0.000000"	"0.000000"	"10202020"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10203020"	"剑啸风花"	"CreateAura"	"0"	"500"	"0"	"0.000000"	"0.000000"	"0.000000"	"10203020"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10200041"	"妙转乾坤后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10200041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10201041"	"妙转乾坤后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10201041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10202041"	"妙转乾坤后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10202041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10203041"	"妙转乾坤后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10203041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10300000"	"剑啸风花后自身移动加速"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10300000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10301000"	"五岳连横后前方地面着火DoT"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10301000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10301001"	"五岳连横后前方地面着火DoT技能"	"CreateCharmOwnedAura"	"0"	"0"	"2"	"1.500000"	"0.000000"	"0.000000"	"10301001"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"10301010"	"五岳连横后自身命中"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10301010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10302000"	"剑啸风花的自身获得光环四周aoe时减速"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10302000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10302009"	"剑啸风花的目标减速"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10302000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10302010"	"剑啸风花的目标附带流血DoT"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10302010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10303000"	"星河流光后自身移动加速"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10303000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10303010"	"星河流光后目标定身"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10303010"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10303020"	"星河流光后自身免疫眩晕"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10303020"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"10304000"	"妙转乾坤后自身增加暴击"	"trigger"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"10304000"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
"11000030"	"沧海龙吟"	"CreateCharmOwnedAura"	"0"	"0"	"1"	"0.000000"	"0.000000"	"0.000000"	"11000030"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"11001030"	"沧海龙吟"	"CreateCharmOwnedAura"	"0"	"0"	"1"	"0.000000"	"0.000000"	"0.000000"	"11001030"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"11002030"	"沧海龙吟"	"CreateCharmOwnedAura"	"0"	"0"	"1"	"0.000000"	"0.000000"	"0.000000"	"11002030"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"11003030"	"沧海龙吟"	"CreateCharmOwnedAura"	"0"	"0"	"1"	"0.000000"	"0.000000"	"0.000000"	"11003030"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"1001"	""	""	""	
"11000041"	"烟雨逍遥后自身buff"	"CreateAura"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"11000041"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	"0"	"0"	"0.000000"	"0.000000"	"0.000000"	"0"	""	""	""	
