"索引ID"	"职业区分（1丐帮，2少林，3全真）"	"索引MeridianNameConfig"	"经脉ID（命名规则为ID最后两位代表经脉所属页数，前面的ID代表该页数所属经脉,例如101代表，第一个经脉第一页）"	"本页经脉点1(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点2(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点3(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点4(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点5(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点6(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点7(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点8(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点9(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点10(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"33"	"3"	"4"	"403"	"168,37700,1,0,1,324,324"	"168,37900,1,0,0,9740,9740"	"169,38000,1,0,12,488,488"	"169,38100,1,0,1,326,326"	"169,38200,1,0,2,490,490"	"169,38400,1,0,14,491,491"	"170,38500,1,0,0,9852,9852"	"170,38600,1,0,1,329,329"	"170,38800,1,0,1,330,330"	"171,38900,1,0,0,9920,9920"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"34"	"3"	"4"	"404"	"171,40200,1,0,2,497,497"	"171,40300,1,0,1,332,332"	"171,40500,1,0,18,499,499"	"172,40600,1,0,16,501,501"	"172,40700,1,0,0,10033,10033"	"172,40900,1,0,1,335,335"	"173,41000,1,0,8,504,504"	"173,41100,1,0,1,337,337"	"173,41300,1,0,0,10123,10123"	"173,41400,1,0,2,507,507"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"35"	"3"	"4"	"405"	"174,42800,1,0,1,339,339"	"174,42900,1,0,10,510,510"	"174,43000,1,0,0,10213,10213"	"175,43200,1,0,1,341,341"	"175,43300,1,0,12,513,513"	"175,43500,1,0,14,514,514"	"175,43600,1,0,1,343,343"	"176,43700,1,0,0,10325,10325"	"176,43900,1,0,2,517,517"	"176,44000,1,0,1,346,346"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"36"	"3"	"4"	"406"	"177,45400,1,0,0,10393,10393"	"177,45600,1,0,1,347,347"	"177,45700,1,0,18,522,522"	"177,45800,1,0,16,523,523"	"178,46000,1,0,1,349,349"	"178,46100,1,0,0,10505,10505"	"178,46300,1,0,2,526,526"	"179,46400,1,0,1,352,352"	"179,46600,1,0,8,529,529"	"179,46700,1,0,0,10595,10595"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"37"	"3"	"4"	"407"	"180,48100,1,0,1,354,354"	"180,48300,1,0,10,532,532"	"180,48400,1,0,1,355,355"	"180,48600,1,0,0,10685,10685"	"180,48700,1,0,12,535,535"	"181,48900,1,0,1,358,358"	"181,49000,1,0,2,538,538"	"181,49200,1,0,14,539,539"	"181,49300,1,0,0,10798,10798"	"181,49500,1,0,1,361,361"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"38"	"3"	"4"	"408"	"182,50900,1,0,1,361,361"	"182,51100,1,0,0,10865,10865"	"182,51200,1,0,2,544,544"	"182,51400,1,0,1,364,364"	"182,51600,1,0,18,547,547"	"183,51700,1,0,16,548,548"	"183,51900,1,0,0,10978,10978"	"183,52000,1,0,1,367,367"	"183,52200,1,0,8,551,551"	"183,52300,1,0,1,368,368"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"39"	"3"	"4"	"409"	"184,53800,1,0,0,11068,11068"	"184,54000,1,0,2,555,555"	"184,54200,1,0,1,370,370"	"184,54300,1,0,10,557,557"	"184,54500,1,0,0,11158,11158"	"185,54600,1,0,1,373,373"	"185,54800,1,0,12,560,560"	"185,54900,1,0,14,561,561"	"185,55100,1,0,1,375,375"	"186,55200,1,0,0,11271,11271"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"40"	"3"	"4"	"410"	"186,56800,1,0,2,565,565"	"186,57000,1,0,1,377,377"	"186,57100,1,0,0,11338,11338"	"186,57300,1,0,1,379,379"	"187,57500,1,0,18,569,569"	"187,57600,1,0,16,570,570"	"187,57800,1,0,1,381,381"	"187,57900,1,0,0,11451,11451"	"188,58100,1,0,2,574,574"	"188,58300,1,0,1,383,383"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"41"	"3"	"5"	"501"	"188,59900,1,0,8,576,576"	"188,60000,1,0,0,11541,11541"	"188,60200,1,0,1,385,385"	"189,60400,1,0,10,579,579"	"189,60500,1,0,1,387,387"	"189,60700,1,0,0,11631,11631"	"189,60900,1,0,12,583,583"	"189,61000,1,0,1,389,389"	"190,61200,1,0,2,585,585"	"190,61400,1,0,14,586,586"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"42"	"3"	"5"	"502"	"190,63000,1,0,0,11743,11743"	"190,63200,1,0,1,392,392"	"191,63400,1,0,1,393,393"	"191,63500,1,0,0,11811,11811"	"191,63700,1,0,2,592,592"	"191,63900,1,0,1,395,395"	"192,64000,1,0,18,594,594"	"192,64200,1,0,16,595,595"	"192,64400,1,0,0,11923,11923"	"192,64500,1,0,1,398,398"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"43"	"3"	"5"	"503"	"192,66300,1,0,8,598,598"	"193,66400,1,0,1,400,400"	"193,66600,1,0,0,12014,12014"	"193,66800,1,0,2,602,602"	"193,66900,1,0,1,402,402"	"194,67100,1,0,10,604,604"	"194,67300,1,0,0,12104,12104"	"194,67500,1,0,1,404,404"	"194,67600,1,0,12,607,607"	"194,67800,1,0,14,609,609"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"44"	"3"	"5"	"504"	"195,69600,1,0,1,406,406"	"195,69700,1,0,0,12216,12216"	"195,69900,1,0,2,612,612"	"195,70100,1,0,1,409,409"	"196,70300,1,0,0,12284,12284"	"196,70500,1,0,1,410,410"	"196,70600,1,0,18,616,616"	"196,70800,1,0,16,618,618"	"197,71000,1,0,1,412,412"	"197,71200,1,0,0,12396,12396"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"45"	"3"	"5"	"505"	"197,73000,1,0,2,621,621"	"197,73100,1,0,1,415,415"	"198,73300,1,0,8,623,623"	"198,73500,1,0,0,12486,12486"	"198,73700,1,0,1,417,417"	"198,73900,1,0,10,627,627"	"198,74100,1,0,1,418,418"	"199,74200,1,0,0,12576,12576"	"199,74400,1,0,12,630,630"	"199,74600,1,0,1,421,421"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"46"	"3"	"5"	"506"	"199,76500,1,0,2,632,632"	"200,76600,1,0,14,633,633"	"200,76800,1,0,0,12689,12689"	"200,77000,1,0,1,424,424"	"200,77200,1,0,1,424,424"	"201,77400,1,0,0,12756,12756"	"201,77600,1,0,2,639,639"	"201,77800,1,0,1,427,427"	"201,77900,1,0,18,641,641"	"202,78100,1,0,16,642,642"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"47"	"3"	"5"	"507"	"202,80000,1,0,0,12869,12869"	"202,80200,1,0,1,430,430"	"202,80400,1,0,8,646,646"	"203,80600,1,0,1,431,431"	"203,80800,1,0,0,12959,12959"	"203,81000,1,0,2,649,649"	"203,81200,1,0,1,433,433"	"204,81400,1,0,10,651,651"	"204,81500,1,0,0,13049,13049"	"204,81700,1,0,1,436,436"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"48"	"3"	"5"	"508"	"204,83700,1,0,12,655,655"	"205,83900,1,0,14,656,656"	"205,84100,1,0,1,438,438"	"205,84300,1,0,0,13162,13162"	"205,84500,1,0,2,659,659"	"206,84700,1,0,1,440,440"	"206,84800,1,0,0,13229,13229"	"206,85000,1,0,1,442,442"	"206,85200,1,0,18,664,664"	"207,85400,1,0,16,665,665"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"49"	"3"	"5"	"509"	"207,87400,1,0,1,444,444"	"207,87600,1,0,0,13342,13342"	"207,87800,1,0,2,668,668"	"208,88000,1,0,1,446,446"	"208,88200,1,0,8,670,670"	"208,88400,1,0,0,13432,13432"	"208,88600,1,0,1,448,448"	"209,88800,1,0,10,674,674"	"209,89000,1,0,1,450,450"	"209,89200,1,0,0,13522,13522"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"50"	"3"	"5"	"510"	"209,91200,1,0,12,677,677"	"210,91400,1,0,1,452,452"	"210,91600,1,0,2,679,679"	"210,91900,1,0,14,681,681"	"210,92100,1,0,0,13634,13634"	"211,92300,1,0,1,455,455"	"211,92500,1,0,1,456,456"	"211,92700,1,0,0,13702,13702"	"212,92900,1,0,2,686,686"	"212,93100,1,0,1,458,458"	""	""	""	""	""	""	""	""	""	""	""	""	""	
