"称号id"	"一级标题分类id"	"标题名字"	"排序id"	"称号名称"	"获得途径"	"使用物品id"	"持续时间单位为天-1表示永久"	"获得途径跳转(UI界面ID)"	"称号属性索引"	"属性修改方式0=基础值1=基础百分比2=总值3=总值百分比"	"属性修改值"	"属性加成描述"	"称号图片"	""	
"1010"	"1"	"活动称号"	"11"	"土豪光环"	"累计消耗100w元宝"	"420110"	"-1"	""	"0,1,2"	"0,0,0"	"100000,3000,3000"	"攻击力：[green]+30,防御力：[green]+30,生命值：[green]+800"	"pic_chenghao_png,tuhaoguanghuan"	""	
"1011"	"1"	"活动称号"	"4"	"问鼎天下"	"跨服公会战冠军"	"420111"	"7"	""	"0,1,2"	"0,0,0"	"50000,5000,2500"	"攻击力：[green]+20,防御力：[green]+20,生命值：[green]+500"	"pic_chenghao_png,wendingtianxia"	""	
"1012"	"1"	"活动称号"	"7"	"先进个人"	"帮派战个人积分第一"	"420112"	"7"	""	"0,1,2"	"0,0,0"	"30000,1500,1000"	"攻击力：[green]+30,防御力：[green]+30,生命值：[green]+800"	"pic_chenghao_png,xianjingeren"	""	
"1013"	"1"	"活动称号"	"3"	"引领群豪"	"逐鹿苍原冠军"	"420113"	"14"	""	"1,18,16"	"0,0,0"	"2000,3000,3000"	"攻击力：[green]+20,防御力：[green]+20,生命值：[green]+500"	"pic_chenghao_png,yinlingqunhao"	""	
"1014"	"1"	"活动称号"	"14"	"有钱任性"	"累计充值1000元宝"	"420114"	"-1"	""	"1,12,14"	"0,0,0"	"1000,1000,1000"	"攻击力：[green]+30,防御力：[green]+30,生命值：[green]+800"	"pic_chenghao_png,youqianrenxing"	""	
"3001"	"1"	"活动称号"	"15"	"武林至尊"	"活动"	"420301"	"10"	""	"0,1,12,16"	"0,0,0,0"	"40000,1000,1000,1000"	"攻击力：[green]+30,防御力：[green]+30,生命值：[green]+800"	"pic_chenghao_png,wulinzhizun"	""	
"3002"	"1"	"活动称号"	"16"	"界限突破"	"活动"	"420302"	"10"	""	"0,2,10,18"	"0,0,0,0"	"40000,1000,1000,1000"	"攻击力：[green]+20,防御力：[green]+20,生命值：[green]+500"	"pic_chenghao_png,jiexiantupo"	""	
"3003"	"1"	"活动称号"	"17"	"坐骑名人"	"活动"	"420303"	"10"	""	"0,8,10,14"	"0,0,0,0"	"40000,1000,1000,1000"	"攻击力：[green]+30,防御力：[green]+30,生命值：[green]+800"	"pic_chenghao_png,zuoqimingren"	""	
"3004"	"1"	"活动称号"	"18"	"全身武装"	"活动"	"420304"	"10"	""	"0,1,8,10"	"0,0,0,0"	"40000,1000,1000,1000"	"攻击力：[green]+20,防御力：[green]+20,生命值：[green]+500"	"pic_chenghao_png,quanshenwuzhuang"	""	
"3005"	"1"	"活动称号"	"19"	"天机秘卷"	"天机密卷积分商城"	"420305"	"-1"	""	"0,1,12,8,10"	"0,0,0,0,0"	"40000,1500,1500,1000,1000"	"攻击力：[green]+30,防御力：[green]+30,生命值：[green]+800"	"pic_chenghao_png,tianji"	""	
"3006"	"1"	"活动称号"	"20"	"命运轮回"	"命运轮回积分商城"	"420306"	"-1"	""	"0,1,12,8,10"	"0,0,0,0,0"	"40000,2000,2000,1200,1500"	"攻击力：[green]+30,防御力：[green]+30,生命值：[green]+800"	"pic_chenghao_png,mingyunlunhui"	""	
"3007"	"1"	"活动称号"	"21"	"武林第一剑"	"活动"	"420307"	"-1"	""	"0,1,2,18"	"0,0,0,0"	"100000,2000,2000,2000"	"攻击力：[green]+20,防御力：[green]+20,生命值：[green]+500"	"pic_chenghao_png,wulinfrist"	""	
"3008"	"1"	"活动称号"	"22"	"江湖名将"	"商城"	"420308"	"-1"	""	"0,1,2"	"0,0,0"	"45000,3500,3200"	"攻击力：[green]+30,防御力：[green]+30,生命值：[green]+800"	"pic_chenghao_png,jianghumingjiang"	""	
"3009"	"1"	"活动称号"	"23"	"霸王"	"活动"	"420309"	"-1"	""	"0,1,2,18,16"	"0,0,0,0,0"	"200000,8000,4000,2000,2000"	"攻击力：[green]+20,防御力：[green]+20,生命值：[green]+500"	"pic_chenghao_png,bawang"	""	
"3010"	"1"	"活动称号"	"24"	"大将军"	"活动"	"420310"	"-1"	""	"0,1,2,12,14"	"0,0,0,0,0"	"100000,6000,3000,1500,1500"	"攻击力：[green]+20,防御力：[green]+20,生命值：[green]+500"	"pic_chenghao_png,dajiangjun1"	""	
"3011"	"1"	"活动称号"	"25"	"杀戮之影"	"活动"	"420311"	"-1"	""	"0,1,2,8,10"	"0,0,0,0,0"	"100000,6000,3000,1500,1500"	"攻击力：[green]+20,防御力：[green]+20,生命值：[green]+500"	"pic_chenghao_png,shaluzhiying"	""	
"3012"	"1"	"活动称号"	"26"	"齐天大圣"	"活动"	"420312"	"-1"	""	"0,1,2,12,14"	"0,0,0,0,0"	"200000,8000,4000,2000,2000"	"攻击力：[green]+20,防御力：[green]+20,生命值：[green]+500"	"pic_chenghao_png,qitiandasheng"	""	
"3013"	"1"	"活动称号"	"27"	"捕鱼达人"	"活动"	"420313"	"-1"	""	"0,1,2"	"0,0,0"	"40000,4000,2000"	"攻击力：[green]+20,防御力：[green]+20,生命值：[green]+500"	"pic_chenghao_png,buyudaren"	""	
"3014"	"1"	"活动称号"	"28"	"食神"	"活动"	"420314"	"-1"	""	"0,1,2"	"0,0,0"	"40000,4000,2000"	"攻击力：[green]+20,防御力：[green]+20,生命值：[green]+500"	"pic_chenghao_png,shishen"	""	
"3015"	"1"	"活动称号"	"29"	"360微端大神"	"活动"	"420315"	"-1"	""	"0,1"	"0,0"	"10000,500"	"攻击力：[green]+20,防御力：[green]+20,生命值：[green]+500"	"pic_chenghao_png,360"	""	
"4001"	"1"	"活动称号"	"30"	"助人为乐"	"豪值达到1000"	"420401"	"-1"	""	"0"	"0"	"500"	"生命值：[green]+500"	"pic_chenghao_png,zhurenweile"	""	
"4002"	"1"	"活动称号"	"31"	"乐善好施"	"豪值达到4000"	"420402"	"-1"	""	"0,1"	"0,0"	"500,20"	"攻击力：[green]+20,生命值：[green]+500"	"pic_chenghao_png,leshanhaoshi"	""	
"4003"	"1"	"活动称号"	"32"	"散财童子"	"豪值达到10000"	"420403"	"-1"	""	"0,1,2"	"0,0,0"	"600,30,10"	"攻击力：[green]+30,防御力：[green]+10,生命值：[green]+600"	"pic_chenghao_png,sancaitongzi"	""	
"4004"	"1"	"活动称号"	"33"	"大善人"	"豪值达到20000"	"420404"	"-1"	""	"0,1,2"	"0,0,0"	"800,40,20"	"攻击力：[green]+40,防御力：[green]+20,生命值：[green]+800"	"pic_chenghao_png,dashanren"	""	
"4005"	"1"	"活动称号"	"34"	"普度众生"	"豪值达到50000"	"420405"	"-1"	""	"0,1,2"	"0,0,0"	"1500,70,40"	"攻击力：[green]+70,防御力：[green]+40,生命值：[green]+1500"	"pic_chenghao_png,puduzhongsheng"	""	
"4006"	"1"	"活动称号"	"35"	"慈行天下"	"豪值达到100000"	"420406"	"-1"	""	"0,1,2"	"0,0,0"	"2000,100,50"	"攻击力：[green]+100,防御力：[green]+50,生命值：[green]+2000"	"pic_chenghao_png,cixingtianxia"	""	
